DAY_DATE,DIRECTION,SPX_TR,,
4/3/01,FWD,-0.0027,,
4/4/01,FWD,0.0437,,
4/5/01,FWD,-0.0198,,
4/6/01,FWD,0.0081,,
4/9/01,FWD,0.0272,,
4/10/01,FWD,-0.0021,,
4/11/01,FWD,0.0151,,
4/12/01,FWD,-0.0032,,
4/16/01,FWD,0.0103,,
4/17/01,FWD,0.0389,,
4/18/01,FWD,0.0126,,
4/19/01,FWD,-0.0085,,
4/20/01,FWD,-0.015,,
4/23/01,FWD,-0.0122,,
4/24/01,FWD,0.0159,,
4/25/01,FWD,0.0048,,
4/26/01,FWD,0.015,,
4/27/01,FWD,-0.0028,,
4/30/01,FWD,0.0136,,
5/1/01,FWD,0.0009,,
5/2/01,FWD,-0.0148,,
5/3/01,FWD,0.0145,,
5/4/01,FWD,-0.0024,,
5/7/01,FWD,-0.0017,,
5/8/01,FWD,-0.0044,,
5/9/01,FWD,-0.0001,,
5/10/01,FWD,-0.0075,,
5/11/01,FWD,0.0027,,
5/14/01,FWD,0.0004,,
5/15/01,FWD,0.0286,,
5/16/01,FWD,0.0027,,
5/17/01,FWD,0.0029,,
5/18/01,FWD,0.0162,,
5/21/01,FWD,-0.0026,,
5/22/01,FWD,-0.0155,,
5/23/01,FWD,0.0032,,
5/24/01,FWD,-0.0118,,
5/25/01,FWD,-0.0077,,
5/29/01,FWD,-0.0154,,
5/30/01,FWD,0.0063,,
5/31/01,FWD,0.0039,,
6/1/01,FWD,0.0051,,
6/4/01,FWD,0.013,,
6/5/01,FWD,-0.0104,,
6/6/01,FWD,0.0055,,
6/7/01,FWD,-0.0094,,
6/8/01,FWD,-0.0083,,
6/11/01,FWD,0.0012,,
6/12/01,FWD,-0.0111,,
6/13/01,FWD,-0.0175,,
6/14/01,FWD,-0.0045,,
6/15/01,FWD,-0.0049,,
6/18/01,FWD,0.0034,,
6/19/01,FWD,0.0087,,
6/20/01,FWD,0.0114,,
6/21/01,FWD,-0.0095,,
6/22/01,FWD,-0.0055,,
6/25/01,FWD,-0.0015,,
6/26/01,FWD,-0.0046,,
6/27/01,FWD,0.0125,,
6/28/01,FWD,-0.0015,,
6/29/01,FWD,0.01,,
7/2/01,FWD,-0.0017,,
7/3/01,FWD,-0.0121,,
7/5/01,FWD,-0.0233,,
7/6/01,FWD,0.0069,,
7/9/01,FWD,-0.0143,,
7/10/01,FWD,-0.0011,,
7/11/01,FWD,0.0237,,
7/12/01,FWD,0.0063,,
7/13/01,FWD,-0.0109,,
7/16/01,FWD,0.01,,
7/17/01,FWD,-0.0055,,
7/18/01,FWD,0.0061,,
7/19/01,FWD,-0.0034,,
7/20/01,FWD,-0.0164,,
7/23/01,FWD,-0.0163,,
7/24/01,FWD,0.0161,,
7/25/01,FWD,0.0105,,
7/26/01,FWD,0.0025,,
7/27/01,FWD,-0.001,,
7/30/01,FWD,0.0056,,
7/31/01,FWD,0.004,,
8/1/01,FWD,0.0041,,
8/2/01,FWD,-0.0051,,
8/3/01,FWD,-0.0114,,
8/6/01,FWD,0.0033,,
8/7/01,FWD,-0.0172,,
8/8/01,FWD,0.0001,,
8/9/01,FWD,0.0057,,
8/10/01,FWD,0.001,,
8/13/01,FWD,-0.0038,,
8/14/01,FWD,-0.0071,,
8/15/01,FWD,0.0031,,
