Date,Equity
2024-09-18,100014.49323740257
2024-09-19,100013.59050312148
2024-09-20,100012.7798353863
2024-09-23,100011.37590600856
2024-09-24,100009.89435004514
2024-09-25,100011.02656763815
2024-09-26,100010.2867144334
2024-09-27,100009.88624117327
2024-09-30,100008.20555912003
2024-10-01,100008.58494767357
2024-10-02,100009.60526751175
2024-10-03,100012.73137288386
2024-10-04,100013.33210465056
2024-10-07,100014.67282181722
2024-10-08,100014.93232406199
2024-10-09,100014.4804180639
2024-10-10,100012.94908080695
2024-10-11,100013.36382745676
2024-10-14,100014.15405703337
2024-10-15,100013.32205298338
2024-10-16,100010.26285384674
2024-10-17,100007.71940941714
2024-10-18,100009.18536893668
2024-10-21,100008.92202516693
2024-10-22,100006.62042620656
2024-10-23,100007.15106838905
2024-10-24,100008.08901885971
2024-10-25,100008.69256006909
2024-10-28,100006.77680519964
2024-10-29,100004.89072555631
2024-10-30,100002.7752599231
2024-10-31,100001.29786642625
2024-11-01,100002.0910484465
2024-11-04,100004.72866208862
2024-11-05,100001.93648064198
2024-11-06,100003.4181520644
2024-11-07,100006.18535542647
2024-11-08,100013.01602843535
2024-11-11,100008.62515741205
2024-11-12,100005.37878522063
2024-11-13,100001.33493000653
2024-11-14,100000.52759581614
2024-11-15,100002.42938999108
2024-11-18,100003.0186635858
2024-11-19,100008.11229645518
2024-11-20,100010.06828123225
2024-11-21,100006.96177966772
2024-11-22,100003.26884660799
2024-11-25,100005.18000815947
2024-11-26,100000.67076917144
2024-11-27,99999.1667251604
2024-11-29,99998.32483459184
2024-12-02,99998.87411291602
2024-12-03,99996.29473900014
2024-12-04,99996.6089577424
2024-12-05,99996.72897693813
2024-12-06,99997.23651997304
2024-12-09,99994.33194195357
2024-12-10,99994.83138928439
2024-12-11,99995.72165602629
2024-12-12,99999.07593614527
2024-12-13,99996.65192707746
2024-12-16,99996.01303776485
2024-12-17,99992.69791341902
2024-12-18,99993.19411623798
2024-12-19,99988.85165302426
2024-12-20,99991.81293019265
2024-12-23,99999.16706665159
2024-12-24,99994.43296493127
2024-12-26,99994.87690128139
2024-12-27,99994.48927081843
2024-12-30,99992.02416732427
2024-12-31,99988.35344795944
2025-01-02,99980.88876977879
2025-01-03,99988.38913851792
2025-01-06,99987.49454977024
2025-01-07,99996.9047634252
2025-01-08,99996.52086222543
2025-01-10,99993.6469052208
2025-01-13,99987.5003853253
2025-01-14,99990.74218506619
2025-01-15,99993.44150250626
2025-01-16,99996.60345134219
2025-01-17,99989.0096158629
2025-01-21,99998.37636386776
2025-01-22,99995.163211388
2025-01-23,100000.28457020654
2025-01-24,100002.48050050662
2025-01-27,100002.48174404561
2025-01-28,99997.68209343233
2025-01-29,100001.11283985352
2025-01-30,100001.08124681572
2025-01-31,99997.12136305646
2025-02-03,99987.14812393143
2025-02-04,100005.4659892143
2025-02-05,100006.06113152475
2025-02-06,100005.63904907896
2025-02-07,100007.85040822967
2025-02-10,100003.22199898276
2025-02-11,100003.14441973966
2025-02-12,100006.35027049316
2025-02-13,100006.3462414356
2025-02-14,100010.47198192806
2025-02-18,100014.45688124758
2025-02-19,100015.12747802805
2025-02-20,100010.69241992378
2025-02-21,100014.84193313218
2025-02-24,100012.5459384856
2025-02-25,100010.08347474251
2025-02-26,100011.78552810426
2025-02-27,100010.56942293532
2025-02-28,100006.10912848523
2025-03-03,100003.99808920476
2025-03-04,100000.3546056452
2025-03-05,100008.7016375004
2025-03-06,100015.81894272735
2025-03-07,100017.41496463191
2025-03-10,100017.21458113246
2025-03-11,100015.79067842186
2025-03-12,100016.75320293837
2025-03-13,100019.04545215864
2025-03-14,100019.19496319813
2025-03-17,100023.3976039586
2025-03-18,100025.6259717687
2025-03-19,100025.9821722663
2025-03-20,100024.54669247849
2025-03-21,100020.8254711814
2025-03-24,100017.93718877845
2025-03-25,100020.65962691182
2025-03-26,100022.24653944913
2025-03-27,100017.35338164611
2025-03-28,100017.1298301383
2025-03-31,100014.98030021902
2025-04-01,100013.93317985501
2025-04-02,100017.68860149266
2025-04-03,100018.62071703553
2025-04-04,100021.79133224979
2025-04-07,100018.72812235501
2025-04-08,100015.73903425608
2025-04-09,100017.76877316249
2025-04-10,100022.45567747562
2025-04-11,100025.7575448643
2025-04-14,100027.61811933962
2025-04-15,100028.65656398975
2025-04-16,100028.21565549709
2025-04-17,100029.84953647491
2025-04-21,100029.81810482839
2025-04-22,100032.19317083737
2025-04-23,100034.3366932251
2025-04-24,100034.57951302904
2025-04-25,100035.08716530367
2025-04-28,100036.28353032254
2025-04-29,100035.75116040047
2025-04-30,100036.63603904571
2025-05-01,100036.30443100841
2025-05-02,100037.04572759867
2025-05-05,100037.27655445086
2025-05-06,100035.55490941917
